1.1	0.809013	0.587783	9.52711e-06	6.92185e-06	6.65823e-09	-9.16426e-09	-1.75385	-0.351488	0.053301	0.0111175	-0.00107535	-0.0877335	-2.56286	-0.93927	0.0532915	0.0111106	-0.00107536	-0.0877335	
1.15	0.587783	0.809013	6.92185e-06	9.52711e-06	9.16426e-09	-6.65823e-09	-2.00925	-0.319228	0.0663058	0.0156403	0.00841768	-0.0767274	-2.59703	-1.12824	0.0662988	0.0156308	0.00841767	-0.0767274	
1.2	0.309016	0.951052	3.63903e-06	1.11998e-05	1.07732e-08	-3.50044e-09	-1.74746	-0.206889	0.073836	0.0182756	0.00841768	-0.0767274	-2.05648	-1.15794	0.0738324	0.0182644	0.00841767	-0.0767274	
1.25	3.0616e-16	0.999996	3.60541e-21	1.17762e-05	1.13277e-08	-3.46809e-24	-1.13972	-0.0561474	0.0772236	0.0183109	0.0163491	-0.0671274	-1.13972	-1.05614	0.0772236	0.0182992	0.0163491	-0.0671274	
1.3	-0.309016	0.951052	-3.63903e-06	1.11998e-05	1.07732e-08	3.50044e-09	-0.347017	0.106108	0.0777117	0.0161643	0.0208156	-0.0609811	-0.0380012	-0.844944	0.0777153	0.0161531	0.0208156	-0.0609811	
1.35	-0.587783	0.809013	-6.92185e-06	9.52711e-06	9.16426e-09	6.65823e-09	0.562125	0.258748	0.0750937	0.0111628	0.0208156	-0.0609811	1.14991	-0.550266	0.0751006	0.0111533	0.0208156	-0.0609811	
1.4	-0.809013	0.587783	-9.52711e-06	6.92185e-06	6.65823e-09	9.16426e-09	1.28088	0.341475	0.0701987	0.00338494	0.0207596	-0.0591091	2.0899	-0.246308	0.0702083	0.00337802	0.0207596	-0.0591091	
1.45	-0.951052	0.309016	-1.11998e-05	3.63903e-06	3.50044e-09	1.07732e-08	1.75044	0.360607	0.0643702	-0.00557565	0.016334	-0.0608962	2.70149	0.0515915	0.0643814	-0.00557929	0.016334	-0.0608962	
1.5	-0.999996	3.67392e-16	-1.17762e-05	4.32649e-21	4.16171e-24	1.13277e-08	1.93002	0.310482	0.0578029	-0.0154962	0.016334	-0.0608962	2.93002	0.310482	0.0578147	-0.0154962	0.016334	-0.0608962	
1.55	-0.951052	-0.309016	-1.11998e-05	-3.63903e-06	-3.50044e-09	1.07732e-08	1.53594	0.147464	0.0506551	-0.025249	0.00889486	-0.064488	2.48699	0.45648	0.0506663	-0.0252453	0.00889486	-0.064488	
1.6	-0.809013	-0.587783	-9.52711e-06	-6.92185e-06	-6.65823e-09	9.16426e-09	0.915681	-0.0476297	0.0432201	-0.0339762	0.00062293	-0.0673235	1.72469	0.540153	0.0432296	-0.0339692	0.000622937	-0.0673235	
1.65	-0.587783	-0.809013	-6.92185e-06	-9.52711e-06	-9.16426e-09	6.65823e-09	0.118283	-0.262627	0.035463	-0.0415244	-0.00610634	-0.0668477	0.706065	0.546387	0.0354699	-0.0415149	-0.00610633	-0.0668477	
1.7	-0.309016	-0.951052	-3.63903e-06	-1.11998e-05	-1.07732e-08	3.50044e-09	-0.724225	-0.4527	0.0270656	-0.0466144	-0.00610634	-0.0668477	-0.415209	0.498352	0.0270692	-0.0466032	-0.00610633	-0.0668477	
1.75	-4.28624e-16	-0.999996	-5.04757e-21	-1.17762e-05	-1.13277e-08	4.85533e-24	-1.34699	-0.56467	0.0180522	-0.0493399	-0.00940155	-0.0612133	-1.34699	0.435326	0.0180522	-0.0493281	-0.00940154	-0.0612133	
1.8	0.309016	-0.951052	3.63903e-06	-1.11998e-05	-1.07732e-08	-3.50044e-09	-1.73013	-0.602222	0.00865766	-0.0501878	-0.00837307	-0.0497895	-2.03914	0.34883	0.00865402	-0.0501766	-0.00837306	-0.0497895	
1.85	0.587783	-0.809013	6.92185e-06	-9.52711e-06	-9.16426e-09	-6.65823e-09	-1.7339	-0.531838	-0.00107366	-0.048706	-0.00837307	-0.0497895	-2.32169	0.277176	-0.00108058	-0.0486964	-0.00837306	-0.0497895	
1.9	0.809013	-0.587783	9.52711e-06	-6.92185e-06	-6.65823e-09	-9.16426e-09	-1.28883	-0.345997	-0.0103317	-0.0446904	-0.0033395	-0.0333606	-2.09785	0.241785	-0.0103412	-0.0446835	-0.00333949	-0.0333606	
1.95	0.951052	-0.309016	1.11998e-05	-3.63903e-06	-3.50044e-09	-1.07732e-08	-0.644378	-0.113795	-0.0186503	-0.0391493	0.00431968	-0.0139777	-1.59543	0.19522	-0.0186615	-0.0391456	0.00431969	-0.0139777	
2	0.999996	-4.89857e-16	1.17762e-05	-5.76865e-21	-5.54895e-24	-1.13277e-08	0.166173	0.154565	-0.0258215	-0.032137	0.00431968	-0.0139777	-0.833823	0.154565	-0.0258333	-0.032137	0.00431968	-0.0139777	
2.05	0.951052	0.309016	1.11998e-05	3.63903e-06	3.50044e-09	-1.07732e-08	0.910655	0.385696	-0.0295615	-0.0229776	0.0125946	0.00548352	-0.0403975	0.0766802	-0.0295727	-0.0229813	0.0125946	0.00548353	
2.1	0.809013	0.587783	9.52711e-06	6.92185e-06	6.65823e-09	-9.16426e-09	1.43095	0.543835	-0.0308599	-0.0129324	0.019407	0.0219442	0.621934	-0.043948	-0.0308694	-0.0129393	0.0194069	0.0219442	
2.15	0.587783	0.809013	6.92185e-06	9.52711e-06	9.16426e-09	-6.65823e-09	1.70486	0.622738	-0.0297381	-0.00213715	0.0231304	0.0327734	1.11708	-0.186275	-0.029745	-0.00214667	0.0231304	0.0327734	
2.2	0.309016	0.951052	3.63903e-06	1.11998e-05	1.07732e-08	-3.50044e-09	1.50936	0.554694	-0.0250815	0.00917119	0.0231304	0.0327734	1.20035	-0.396359	-0.0250852	0.00915999	0.0231304	0.0327734	
2.25	5.51089e-16	0.999996	6.48974e-21	1.17762e-05	1.13277e-08	-6.24257e-24	0.981474	0.380234	-0.0183518	0.0198985	0.0229303	0.0363294	0.981474	-0.619762	-0.0183518	0.0198867	0.0229303	0.0363294	
2.3	-0.309016	0.951052	-3.63903e-06	1.11998e-05	1.07732e-08	3.50044e-09	0.268957	0.144056	-0.0105313	0.0296538	0.0188615	0.0322871	0.577972	-0.806997	-0.0105277	0.0296426	0.0188614	0.0322871	
2.35	-0.587783	0.809013	-6.92185e-06	9.52711e-06	9.16426e-09	6.65823e-09	-0.572744	-0.140001	-0.00205718	0.0375604	0.0188615	0.0322871	0.0150387	-0.949014	-0.00205025	0.0375509	0.0188614	0.0322871	
2.4	-0.809013	0.587783	-9.52711e-06	6.92185e-06	6.65823e-09	9.16426e-09	-1.25705	-0.386758	0.00536409	0.0417086	0.0117451	0.021699	-0.44804	-0.97454	0.00537361	0.0417017	0.011745	0.021699	
2.45	-0.951052	0.309016	-1.11998e-05	3.63903e-06	3.50044e-09	1.07732e-08	-1.71304	-0.567607	0.0113978	0.0427907	0.00290292	0.00679498	-0.761991	-0.876623	0.011409	0.042787	0.00290292	0.00679496	
